Date,Open,High,Low,Close,Volume,Adj Close
2016-09-16,10.77,10.77,10.77,10.77,000,10.77
2016-09-15,10.78,10.78,10.78,10.78,000,10.78
2016-09-14,10.77,10.77,10.77,10.77,000,10.77
2016-09-13,10.77,10.77,10.77,10.77,000,10.77
2016-09-12,10.77,10.77,10.77,10.77,000,10.77
2016-09-09,10.77,10.77,10.77,10.77,000,10.77
2016-09-08,10.79,10.79,10.79,10.79,000,10.79
2016-09-07,10.80,10.80,10.80,10.80,000,10.80
2016-09-06,10.80,10.80,10.80,10.80,000,10.80
2016-09-02,10.78,10.78,10.78,10.78,000,10.78
2016-09-01,10.78,10.78,10.78,10.78,000,10.78
2016-08-31,10.78,10.78,10.78,10.78,000,10.78
2016-08-30,10.78,10.78,10.78,10.78,000,10.761
2016-08-29,10.78,10.78,10.78,10.78,000,10.761
2016-08-26,10.77,10.77,10.77,10.77,000,10.751018
2016-08-25,10.79,10.79,10.79,10.79,000,10.770982
2016-08-24,10.79,10.79,10.79,10.79,000,10.770982
2016-08-23,10.79,10.79,10.79,10.79,000,10.770982
2016-08-22,10.79,10.79,10.79,10.79,000,10.770982
2016-08-19,10.79,10.79,10.79,10.79,000,10.770982
2016-08-18,10.80,10.80,10.80,10.80,000,10.780965
2016-08-17,10.79,10.79,10.79,10.79,000,10.770982
2016-08-16,10.79,10.79,10.79,10.79,000,10.770982
2016-08-15,10.79,10.79,10.79,10.79,000,10.770982
2016-08-12,10.79,10.79,10.79,10.79,000,10.770982
2016-08-11,10.78,10.78,10.78,10.78,000,10.761
2016-08-10,10.79,10.79,10.79,10.79,000,10.770982
2016-08-09,10.79,10.79,10.79,10.79,000,10.770982
2016-08-08,10.78,10.78,10.78,10.78,000,10.761
2016-08-05,10.78,10.78,10.78,10.78,000,10.761
2016-08-04,10.80,10.80,10.80,10.80,000,10.780965
2016-08-03,10.79,10.79,10.79,10.79,000,10.770982
2016-08-02,10.79,10.79,10.79,10.79,000,10.770982
2016-08-01,10.79,10.79,10.79,10.79,000,10.770982
2016-07-29,10.80,10.80,10.80,10.80,000,10.780965
2016-07-28,10.78,10.78,10.78,10.78,000,10.742033
2016-07-27,10.78,10.78,10.78,10.78,000,10.742033
2016-07-26,10.76,10.76,10.76,10.76,000,10.722104
2016-07-25,10.77,10.77,10.77,10.77,000,10.732069
2016-07-22,10.77,10.77,10.77,10.77,000,10.732069
2016-07-21,10.78,10.78,10.78,10.78,000,10.742033
2016-07-20,10.77,10.77,10.77,10.77,000,10.732069
2016-07-19,10.78,10.78,10.78,10.78,000,10.742033
2016-07-18,10.77,10.77,10.77,10.77,000,10.732069
2016-07-15,10.77,10.77,10.77,10.77,000,10.732069
2016-07-14,10.78,10.78,10.78,10.78,000,10.742033
2016-07-13,10.78,10.78,10.78,10.78,000,10.742033
2016-07-12,10.77,10.77,10.77,10.77,000,10.732069
2016-07-11,10.78,10.78,10.78,10.78,000,10.742033
2016-07-08,10.79,10.79,10.79,10.79,000,10.751998
2016-07-07,10.79,10.79,10.79,10.79,000,10.751998
2016-07-06,10.79,10.79,10.79,10.79,000,10.751998
2016-07-05,10.79,10.79,10.79,10.79,000,10.751998
2016-07-01,10.78,10.78,10.78,10.78,000,10.742033
2016-06-30,10.77,10.77,10.77,10.77,000,10.732069
2016-06-29,10.76,10.76,10.76,10.76,000,10.702175
2016-06-28,10.77,10.77,10.77,10.77,000,10.712121
2016-06-27,10.77,10.77,10.77,10.77,000,10.712121
2016-06-24,10.75,10.75,10.75,10.75,000,10.692228
2016-06-23,10.73,10.73,10.73,10.73,000,10.672335
2016-06-22,10.74,10.74,10.74,10.74,000,10.682282
2016-06-21,10.73,10.73,10.73,10.73,000,10.672335
2016-06-20,10.74,10.74,10.74,10.74,000,10.682282
2016-06-17,10.75,10.75,10.75,10.75,000,10.692228
